127.0.0.1 - - [09/Mar/2016:10:54:15 -0500] "GET / HTTP/1.1" 404 1004
0:0:0:0:0:0:0:1 - - [09/Mar/2016:10:54:17 -0500] "GET /MANAGER_FITNESS/VistaAdministrador.jsp HTTP/1.1" 200 5283
0:0:0:0:0:0:0:1 - - [09/Mar/2016:10:54:17 -0500] "GET /MANAGER_FITNESS/css/reset.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Mar/2016:10:54:17 -0500] "GET /MANAGER_FITNESS/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Mar/2016:10:54:17 -0500] "GET /MANAGER_FITNESS/css/grid.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Mar/2016:10:54:17 -0500] "GET /MANAGER_FITNESS/images/page1-img3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Mar/2016:10:54:17 -0500] "GET /MANAGER_FITNESS/images/bg-tail.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Mar/2016:10:54:17 -0500] "GET /MANAGER_FITNESS/images/tabs-content-tail.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Mar/2016:10:54:17 -0500] "GET /MANAGER_FITNESS/images/tabs-bg.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Mar/2016:10:54:17 -0500] "GET /MANAGER_FITNESS/images/menu-row-tail.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Mar/2016:10:54:17 -0500] "GET /MANAGER_FITNESS/images/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Mar/2016:10:54:17 -0500] "GET /MANAGER_FITNESS/images/tabs-a.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Mar/2016:10:54:17 -0500] "GET /MANAGER_FITNESS/images/marker-1.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Mar/2016:10:54:21 -0500] "GET /MANAGER_FITNESS/VistaHome.jsp HTTP/1.1" 200 2745
0:0:0:0:0:0:0:1 - - [09/Mar/2016:10:54:21 -0500] "GET /MANAGER_FITNESS/js/tabs.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Mar/2016:10:54:21 -0500] "GET /MANAGER_FITNESS/js/jquery-1.6.3.min.js HTTP/1.1" 404 1080
0:0:0:0:0:0:0:1 - - [09/Mar/2016:10:54:21 -0500] "GET /MANAGER_FITNESS/images/page1-img1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Mar/2016:10:54:21 -0500] "GET /MANAGER_FITNESS/images/page1-img2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Mar/2016:10:54:24 -0500] "GET /MANAGER_FITNESS/VistaEntrenador.jsp HTTP/1.1" 200 2950
0:0:0:0:0:0:0:1 - - [09/Mar/2016:10:54:40 -0500] "GET /MANAGER_FITNESS/VistaEventos.jsp HTTP/1.1" 200 1617
0:0:0:0:0:0:0:1 - - [09/Mar/2016:10:54:40 -0500] "GET /MANAGER_FITNESS/images/row-bot-tail.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Mar/2016:11:37:55 -0500] "GET /MANAGER_FITNESS/VistaAdministrador.jsp HTTP/1.1" 200 5283
